,r,nmse_test,expression,directory
312,0.9723057477752116,0.0008112852502309,[0.5596533195258182/(8.1841630219709857*(0.37306239184882454*x1 - 1)**3 + 15246.9009647166*(0.00809858622243322*x1 + (0.200818200032601*x1 - 1)**3 - 0.1645088429297685 + 0.5878458014106478/x1)**2 + 0.8912476347730851)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-20-125735
442,0.97230648225842,0.0008112409927491,[-(14.285946033959059*x1 - 39.6717476862206)*lj(2*x1 - 0.25740650673613935*cos(4.032724734256146*x1 - 12.120596203339854) - 2.0450480288017245)],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-010928
671,0.9723066224555268,0.0008112325450889,[1.089046985880594e-20*x1**4/(1.043574140097671e-10*x1 + 3.468074961681468e-8*(1 - 0.2942818385160877*x1)**2 + ((0.2618639864724444 - 1/x1)**2 - 0.0061816997362404872)**4 + 7.7543949668579194e-10)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-03-20-174015
21,0.9723130993303372,0.0008108423277478,[tan(0.0072949225004269974/(0.065918434209716882*x1 + ((1 - 0.94587317053530856/(0.4904716057864655 + 0.47414023097745522/(0.5808490469772888*x1 - 1)**3))**3 + 0.34459323066873789)**3 - 0.033081873068164801)**3)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-05-02-160821
607,0.9723163975538742,0.0008106436551657,[0.838323705928634/(x1 + 31339146334.536901*(0.00031717889315211125*x1 + (0.036867036459081214*x1 - 0.22311967753562561 + (0.066848967466617883*x1**3 + 1)**(-3))**3 - 0.00098665223254167097)**3)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-20-125735
266,0.9723176979562748,0.0008105653308768,[42277829.24100529*(lj(x1 + 2.995367374139643) + 0.001860633991468706*cos(2.7585320551420818*x1 - 27.844126602594888/x1) + 0.033508630697874709)**3/x1**6],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-010928
31,0.9723183772341322,0.0008105244190096,[0.023923987970261382/(x1 + 1179.3244642589111*(0.0098295243603068726*x1*(x1 + 64.30192093472812*(0.1247061944534443*x1 - 1)**2 + 6.6144836410906) - 1)**3 - 7.358380041728072 + 13.211722489218289/x1)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-20-125735
413,0.9723202354544894,0.0008104125068051,[4.602663219990399/(0.021807557197305212*x1**3 - cos(x1 + 0.20440221845885) - cos(1.184202040537766*x1 + 1.184202040537766*lj(x1) - 3.2060024341428894)**3 + 0.9434603004278896)**3],log/.._dso_data_lj_hnc_greater_fourth_2022-04-28-142629
32,0.9723238506006262,0.0008101948062739,[861.9595991380154*(0.013469225591420435 - (-cos(4.082570816409185*x1) - 17.40874313281958 + 51.5606988913794/x1)/x1**2)/x1**5],log/.._dso_data_lj_hnc_greater_fourth_2022-04-28-142431
253,0.9723241630079816,0.0008101759948602,[4.8981795426099382*(0.046188769991959003*cos(2.236830757826691*x1 + 3.2923226986544063 - 77.32877169633569/x1**2) - 1)**4/(-0.068713974938492212*x1**2 - 1 - 0.24969455820503461/x1)**4],log/.._dso_data_lj_hnc_greater_fourth_2022-04-28-142431
521,0.9723257453071624,0.0008100807212434,[3643353.227172431*(-0.00055876482628811124 - 1/(-x1**2 - 27.844725697862874))**4*(0.085443334949633406*cos(x1 + 7.119003044876508 + 27.386342678650653/(1.2227427178184513 - x1)) - 1)**2/x1],log/.._dso_data_lj_hnc_greater_fourth_2022-03-23-000415
50,0.9723264718699952,0.0008100369753225,[1.3116637155968667/(0.05496361363151477*x1**2 + (0.02601938597783283*x1 + 0.02601938597783283*cos(21.88194005970675 + (x1 - 74.29263633627485)/x1) + 1)**(-4))**4],log/.._dso_data_lj_hnc_greater_fourth_2022-05-02-160750
287,0.9723277212544544,0.0008099617535337,[392128.2666609406*(-0.112145960541213 + (0.2701840305572099*x1 - 0.3105134009522275*sin(0.40755123618481914*x1**2 + 5.463923773075482) - 1)**2/x1**2)**4/x1**4],log/.._dso_data_lj_hnc_greater_fourth_2022-03-23-000415
401,0.9723283443867444,0.0008099242379364,[-8.8566414040558381e-5/(-0.18248966993306919*x1 + 0.18248966993306919*cos(0.7456548272027674*x1) + 1 + 0.00026660846025508244/(0.087041781362451853*cos(x1 - 4.189281439535148) - 0.45284081399423691 + 1/x1)**3)**3],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-010928
0,0.972328453281087,0.000809917682061,[119.27602680129964/(10480.217405464857*(0.27337802967347492*x1 - 1)**2 + 1737871.02147242*(-0.0002675529188528575*x1**3 + (0.0275420089204802*x1*(13.60777448747901 - x1) - 1)**2 - 0.002799169575528005)**2)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-28-063107
838,0.9723284553012956,0.0008099175604366,[4.586190777659812/(402.96612503148615*(0.27337818628145939*x1 - 1)**2 + 67786.611648201097*(-0.010003283758502997*(0.61964467844607446*x1 - 1)**2 + (0.061974640826943985*x1*(6.103591259013967 - 0.4427446886335074*x1) - 1)**2)**2)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-20-174015
398,0.972330079730924,0.0008098197666014,[0.005611946878763054/(-0.1865117934649747*x1 + 0.0261625751529481*(x1 + 1.6376106246044406*sin(1.5067753918123181*x1)**2)*(2*x1 - 8.818619445534564) + 1)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-03-23-000415
189,0.9723331171519968,0.0008096369246411,[1.128362858384579*cos(1.8893302990791214 - 6.137073473076146/x1)/(-0.01803347138833259*x1**3 - 1 + 0.669698927054065*cos(22.37414494324469 - 72.66752812477009/x1)/x1)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-04-28-142401
102,0.9723340252117428,0.0008095822668997,[0.17811158692819135*(-0.099873537777203 + ((33.64596471887999 - sin(14.821011328933686 - 73.4157222896859/x1))/x1 - 58.94663216601141/x1**2)/x1)**3],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011426
30,0.9723376870870516,0.0008093618718283,[0.6411494335719628*((x1 - 2.9171835687501413)/(x1*(x1 + 5.069803206516594*(0.03909888298494801*(sin(x1) + 0.31425054669052643)**3 - 1)**3) + 6.2319794003241356) - 0.04943274913174827)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-04-27-163306
106,0.972338433673808,0.0008093169413492,[814.3300101112356*(-0.081380256808560857 + 1/(12.9789313383959*(0.27757511763624892*x1 - 1)**2 + 13.964547776219906))**2/((18.38602477300975*(0.2332147849040124*x1 - 1)**2 + 0.4675275872126616)*(10.0329726834867*(0.315707707840635*x1 - 1)**2 + 0.09398165577069811))],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011426
36,0.9723389226807828,0.0008092875130412,[5.6205300004100219/(x1*(-0.036714832218512217*x1**2 + 0.063866345650913956*cos(4.481693619245908 - 103.98361469496177*(-0.098065793055763916*x1 - 1)**2/x1**2) - 1)**4)],log/.._dso_data_lj_hnc_greater_fourth_2022-05-02-160641
31,0.9723409567625142,0.0008091651086095,[(0.23487360889907433 + (-0.13520571374136606*x1 + 2.7737224127796877*(1 - 0.0043227497659435954/(x1 - 3.0333057041009175))**3 + 0.13520571374136606*sin(3.7619404954125716*x1 - 15.516630980801667))/x1)**6],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011426
524,0.9723417273004076,0.0008091187426933,[2.4518120112603018*(0.084428898765932481*lj(x1) - 0.084428898765932481*cos(12.44313804409481 - (69.92130014184775 + 0.011221636901127218/(x1 - 3.1710606495524116))/x1) + 1)**2/(-0.035615443293012991*x1**3 - 1)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-04-28-142629
704,0.9723419778810444,0.0008091036646963,[0.7808044157946353/(26.26886488638706*(0.3363976070145486*x1 + 0.7332886023637223*lj(x1)*cos(0.05783747064681312*x1**3 + 25.189785389626604) - 0.3363976070145486*lj(x1) - 1)**3 + 1.3194212011611466)],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-010928
197,0.9723421187042296,0.0008090951911155,[-0.00016097303492433455 + 6.407548029233974/(x1*(x1 + 67.11952484828682*(0.2460653008500871*x1 - 1)**3/(86616.26600561642*(-0.064539734667992209 + x1**(-2))**4 + 0.09006164531100654) + 3.572780795215956))],log/.._dso_data_lj_hnc_greater_fourth_2022-04-06-162409
54,0.9723487682843802,0.0008086951273955,[0.74032715562161039*x1/(-0.091527945536957984*x1*(x1 + 0.23489312728433073*cos(x1 + 11.733811535237 - 58.500555786999726/x1) - 1.5275184478532389) - 1)**4],log/.._dso_data_lj_hnc_greater_fourth_2022-04-27-163438
284,0.9723526319531236,0.000808462722525,[0.021473007002457953/(0.5570336087591279*x1 + 65233.80180834472*(0.001489398336806759*x1 - (0.06257225803044292*x1 - 0.5167149406176786 + 1/x1)**2 - 0.0083286995755043516)**2 - 2.5813302789418975)],log/.._dso_data_lj_hnc_greater_fourth_2022-04-06-162409
937,0.97235295195758,0.0008084434754071,[0.0574301658168056*cos(0.20338077997263931*x1 + 0.97773356871911526)**2/(0.09850440525232541*x1*(-x1 + 0.11303779124857931*sin(1.6519929816484826*x1)**2 + 6.235573234434184) - 1)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-03-23-000415
368,0.9723531664334384,0.0008084305755905,[19.12299903527836*(-0.3739509713240191*(cos(0.07154369851198972*x1**3/(0.01293572520518331*x1 + 1)**3) + 1.5396788869566584)*lj(0.3159171524916726 - 1.1548421740247057*x1) - 0.054660894718102886 + 1/x1)**3],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-010928
192,0.9723575531251007,0.0008081667584493,[5.469586773167109/((x1 - 0.7589162912377686)*(58.92660750214227*(0.2569781433649872*x1 + 0.2569781433649872*cos(1.7601071714892056 - 64.08609504621624/(0.4042152507909432*x1 + 1)**3) - 1)**3 + 8.015627918097408))],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-010928
603,0.9723600375536476,0.0008080173642165,[0.0016847568490312011*x1/(0.041045789662658472*x1*(-1.7315648323308881*x1 + 11.902736130000465 + 1.158702440955816*(-cos(2.0674338325510626*x1) - 0.25041606817122997)**2/x1) - 1)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-03-23-000415
227,0.9723606521516572,0.0008079804093151,[6.239563015412062/(x1**3 - x1 + 5652.680069426361*(sin(0.48358708055442722*x1 + 2.4462908612853632) + 0.82947897165082465)**3 - 21.49224898363938)],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011426
262,0.9723620672482576,0.0008078953249661,[sin(0.9681487362427845/(59.604365259040155*(0.28378677129107226*x1 - 1)**2 + 215.29812755049673*((6.617802440186799 - x1)*(0.26105976143601973*x1 - 1)**2 - 0.11348014139681263)**2 + 0.9492583761280503))],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011430
739,0.9723669962304686,0.0008075990010208,[(-0.8293504908861541 + (x1 + x1/(5.093647085110609*(0.05189473895497777 - cos(5.257616218892578 - 186.0033688080824/x1**3))**2 - 12.673412623735304) - 2.9760454966965844)/x1)**4],log/.._dso_data_lj_hnc_greater_fourth_2022-04-28-142629
792,0.972375064657714,0.0008071140615475,[74.46067841372302/(1726226.321971741*(-1 + 0.02758833979310536*(312.00003210028365 - 601.7277005624719/x1)/x1)**4 + 185906.49895845734*(0.0023192774952556316*x1 + 0.83149301245769082*(-0.01821562854000694*x1 - 1)**3 + 1)**2)],log/.._dso_data_lj_hnc_greater_fourth_2022-04-06-162409
63,0.9723755151537796,0.0008070869897567,[0.77413334534449259*x1**2/((0.0072238772433320093*(-x1 - 0.7881687978702971)**4 + 1)**2*(-0.137712225024755*x1 + 0.137712225024755*cos(10.109232855892712 - 73.47634355279848/x1) - 1)**2)],log/.._dso_data_lj_hnc_greater_fourth_2022-05-02-160641
231,0.9723775208949136,0.0008069664639879,[0.15458149074951855/(13.278924966953702*(1 - 0.27442175759578798*x1)**2 + 4695.5725812806157*(-0.0099131087213075057*x1*(-53.34580038601414*(0.1369146379175665*x1 - 1)**2 - 14.906841343163261) + 0.0099131087213075057*lj(x1) - 1)**2/x1)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-20-125736
157,0.9723780181745836,0.0008069365837274,[0.07490707032583431*(0.2396660786119921*tan(1.4127245242484394 - (155.49677853085778*(0.3156758794078308*x1 - 1)**4 + 16.396045580287269)/(x1*(193.47514239794387*(0.2681289492449838*x1 - 1)**4 + 1.8620346372039902))) - 1)**4],log/.._dso_data_lj_hnc_greater_fourth_2022-04-11-150544
