,r,nmse_test,expression,directory
452,0.9900179753682612,0.0001016602362034,[51.373893749647051*x1/(x1 + 3.2597864392188147 + 2.076711315902836/(6.9555113792257727e-15*x1**32 + x1 - 0.03125166943099799)) - 24.245870007197997],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164632
863,0.9900181731239452,0.0001016561676134,[0.017852038769475286*x1 + 1.1620810306824983*(0.59334382390110363*cos(0.19535720108907667*x1 - 0.65911579127715767) + 1)**8 - 49.418354563479472*(0.0190063958499746*cos(1.497029041914695*(0.7091214847042256*x1 - 1)**4) + 1)**2],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201136
246,0.9900184367421144,0.0001016507441094,[x1*((2.2186260034321172 - sin(x1))*((-sin(x1) - 0.9427888863657112)**2 - sin(x1 + 1.5510479945938205)**9) + 2.8165870654888194) + x1 - 24.46058071670323],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-09-162319
283,0.9900189131024736,0.0001016409441642,[7.90555603897398*x1 - 8.90555603897398*((0.16355895306171914 - 1.4218220805954055*(0.46819674127904683*x1 - 1)**3)*(x1 - 0.300929081124414)**2 - 0.4301952704815866)**2 - 23.605624744402453],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-17-000348
339,0.9900199499892196,0.0001016196144301,[-x1 - 35.231407725122*(1 - 0.1773710505062987*x1)**2 + 2.2180028698097454*sin(x1 - 1.4988845797703936)**32 + 8.672285941241194],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-09-162319
488,0.9900199501229708,0.0001016196116789,[-29.81931824614712*(0.1927942994069507*x1 - 1)**2 + 2.217952487601864*cos(x1 + 0.07191288374831348)**32 + 3.2602425953474731],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201136
615,0.9900199501363068,0.0001016196114046,[-1.1083700925050181*x1**2 + 11.497981958499214*x1 + 2.217947559289162*cos(x1 + 0.07191189411804896)**32 - 26.559075265023678],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164632
935,0.9900199501435384,0.0001016196112558,[-29.819399213660196*(0.19279357288110668*x1 - 1)**2 + 2.2179357443482646*cos(x1 + 0.07191154995718952)**32 + 3.2603263745630952],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201136
930,0.9900199501437634,0.0001016196112512,[x1 - 24.85806257297509*(0.2111583837159247*x1 - 1)**2 + 2.217934758331514*cos(x1 + 0.07191146845177804)**32 - 1.701010301335266],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164701
854,0.9900199501448724,0.0001016196112284,[1.1238345804778842*x1 - 24.27512369841845*(1 - 0.2136780519458783*x1)**2 + 2.2179196951510831*cos(x1 + 0.07191131112767411)**32 - 2.2839383415412743],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201136
825,0.9900199501459144,0.0001016196112069,[-x1*(1.1083630178824827*x1 - 13.497962817717735) - 2*x1 + 2.2179235345652049*cos(x1 - 3.069681374837492)**32 - 26.559065502801843],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164701
413,0.9900205502064998,0.0001016072684403,[-28.67542790444835*(1 - 0.1867433074175832*x1)**2 + sin(x1 - 0.5342108586256843) + 2.1117889453089429 + 0.2795497774511875/(1.090802150644343 - sin(2.008071008609963*x1 + 1.717278485711933))],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201058
445,0.9900205502089268,0.0001016072683904,[-28.67560071792194*(0.1867427447125755*x1 - 1)**2 + cos(x1 - 2.1049654650401535) + 2.1118934594111325 + 0.09396310328117696/(0.3666426340996949 - 0.3361220075267759*cos(2.0080730877102453*x1 + 0.14647618003589259))],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-09-162348
371,0.9900230637177556,0.0001015555758316,[7.9484014659353734*x1 - 1.223937273877256*(-0.3309937137682361*x1 + 0.3309937137682361*(-x1 + sin(1.576883128441277*(0.7963431463986402*x1 - 1)**2 - 0.6388568514962487))**2 - 1)**2 - 23.7553501183985],log/.._dso_data_lj_hnc_lesser_sigma_2022-04-11-150408
870,0.9900254237023892,0.0001015070528463,[-38.177337351767093*(0.069002061786246652*x1 - 1)**4*(0.031524105003904861*sin(3.7328158875513357*(0.19506511778384825 - x1)*(1 - 0.51758503979379053*x1)**2 - 3.9887254154155123) + 1)**2 + 14.23594768787405],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-22-201058
